Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Cu_ecut15_k777_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,7 7 7,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.16327394
Cu_ecut15_k777_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,7 7 7,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.78329789
Cu_ecut15_k777_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,7 7 7,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.43311538
Cu_ecut15_k777_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,7 7 7,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.39620941
Cu_ecut15_k888_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,8 8 8,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.11731039
Cu_ecut15_k888_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,8 8 8,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.73754054
Cu_ecut15_k888_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,8 8 8,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.38728461
Cu_ecut15_k888_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,8 8 8,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.35061507
Cu_ecut15_k999_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,9 9 9,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.15116044
Cu_ecut15_k999_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,9 9 9,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.77093862
Cu_ecut15_k999_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,9 9 9,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.42093865
Cu_ecut15_k999_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,9 9 9,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.38382584
Cu_ecut15_k101010_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,10 10 10,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.177712
Cu_ecut15_k101010_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,10 10 10,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.79780523
Cu_ecut15_k101010_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,10 10 10,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.44676185
Cu_ecut15_k101010_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,10 10 10,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.41002401
Cu_ecut15_k111111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,15,11 11 11,Cu.pbe-dn-kjpaw_psl.1.0.0,-208.13940046
Cu_ecut15_k111111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,15,11 11 11,Cu.pbe-dn-rrkjus_psl.1.0.0,-117.75931072
Cu_ecut15_k111111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,15,11 11 11,Cu.pbesol-dn-kjpaw_psl.1.0.0,-205.40903406
Cu_ecut15_k111111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,15,11 11 11,Cu.pbesol-dn-rrkjus_psl.1.0.0,-117.37211798
Cu_ecut20_k111_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,1 1 1,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.48042297
Cu_ecut20_k111_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,1 1 1,Cu.pbe-dn-rrkjus_psl.1.0.0,-122.11549923
Cu_ecut20_k111_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,1 1 1,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.79101669
Cu_ecut20_k111_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,1 1 1,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.76636956
Cu_ecut20_k222_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,2 2 2,Cu.pbe-dn-kjpaw_psl.1.0.0,-211.89665856
Cu_ecut20_k222_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,2 2 2,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.53236969
Cu_ecut20_k222_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,2 2 2,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.2046577
Cu_ecut20_k222_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,2 2 2,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.1800639
Cu_ecut20_k333_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,3 3 3,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.12349203
Cu_ecut20_k333_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,3 3 3,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.76037583
Cu_ecut20_k333_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,3 3 3,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.42239744
Cu_ecut20_k333_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,3 3 3,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.39905543
Cu_ecut20_k444_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,4 4 4,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.00081922
Cu_ecut20_k444_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,4 4 4,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.63825964
Cu_ecut20_k444_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,4 4 4,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.2976678
Cu_ecut20_k444_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,4 4 4,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.27522785
Cu_ecut20_k555_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,5 5 5,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.04016825
Cu_ecut20_k555_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,5 5 5,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.67657582
Cu_ecut20_k555_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,5 5 5,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.33627335
Cu_ecut20_k555_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,5 5 5,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.31248982
Cu_ecut20_k666_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,6 6 6,Cu.pbe-dn-kjpaw_psl.1.0.0,-211.99474251
Cu_ecut20_k666_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,6 6 6,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.63160658
Cu_ecut20_k666_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,6 6 6,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.28951236
Cu_ecut20_k666_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,6 6 6,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.26641717
Cu_ecut20_k777_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,7 7 7,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.01476977
Cu_ecut20_k777_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,7 7 7,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.65116418
Cu_ecut20_k777_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,7 7 7,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.31053806
Cu_ecut20_k777_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,7 7 7,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.28683955
Cu_ecut20_k888_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,8 8 8,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.02302138
Cu_ecut20_k888_Cu.pbe-dn-rrkjus_psl.1.0.0.in,Cu,20,8 8 8,Cu.pbe-dn-rrkjus_psl.1.0.0,-121.65998533
Cu_ecut20_k888_Cu.pbesol-dn-kjpaw_psl.1.0.0.in,Cu,20,8 8 8,Cu.pbesol-dn-kjpaw_psl.1.0.0,-209.31846718
Cu_ecut20_k888_Cu.pbesol-dn-rrkjus_psl.1.0.0.in,Cu,20,8 8 8,Cu.pbesol-dn-rrkjus_psl.1.0.0,-121.29547232
Cu_ecut20_k999_Cu.pbe-dn-kjpaw_psl.1.0.0.in,Cu,20,9 9 9,Cu.pbe-dn-kjpaw_psl.1.0.0,-212.02258891
