Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut15_k888_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,8 8 8,Au.pbe-n-kjpaw_psl.1.0.0,-774.88413802
Au_ecut15_k888_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,8 8 8,Au.pbe-n-rrkjus_psl.1.0.0,-85.14358876
Au_ecut15_k888_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,8 8 8,Au.pbesol-n-kjpaw_psl.1.0.0,-764.40985373
Au_ecut15_k888_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,8 8 8,Au.pbesol-n-rrkjus_psl.1.0.0,-84.94633453
Au_ecut15_k999_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,9 9 9,Au.pbe-n-kjpaw_psl.1.0.0,-774.88883672
Au_ecut15_k999_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,9 9 9,Au.pbe-n-rrkjus_psl.1.0.0,-85.14819918
Au_ecut15_k999_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,9 9 9,Au.pbesol-n-kjpaw_psl.1.0.0,-764.41488061
Au_ecut15_k999_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,9 9 9,Au.pbesol-n-rrkjus_psl.1.0.0,-84.95140883
Au_ecut15_k101010_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,10 10 10,Au.pbe-n-kjpaw_psl.1.0.0,-774.88243086
Au_ecut15_k101010_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,10 10 10,Au.pbe-n-rrkjus_psl.1.0.0,-85.1421198
Au_ecut15_k101010_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,15,10 10 10,Au.pbesol-n-kjpaw_psl.1.0.0,-764.4084683
Au_ecut15_k101010_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,15,10 10 10,Au.pbesol-n-rrkjus_psl.1.0.0,-84.94511836
Au_ecut15_k111111_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,15,11 11 11,Au.pbe-n-kjpaw_psl.1.0.0,-774.88711941
Au_ecut15_k111111_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,15,11 11 11,Au.pbe-n-rrkjus_psl.1.0.0,-85.14665742
