Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Ni_ecut20_k444_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,4 4 4,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.7086621
Ni_ecut20_k444_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,4 4 4,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.8602088
Ni_ecut20_k444_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,4 4 4,Ni.pbe-spn-rrkjus_psl.1.0.0,-298.4935777
Ni_ecut20_k555_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,5 5 5,Ni.pbesol-spn-kjpaw_psl.1.0.0,-383.6484411
Ni_ecut20_k555_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,5 5 5,Ni.pbesol-spn-rrkjus_psl.1.0.0,-297.6381157
Ni_ecut20_k555_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,5 5 5,Ni.pbe-spn-kjpaw_psl.1.0.0,-385.7981093
Ni_ecut20_k555_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,5 5 5,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.3992867
Ni_ecut20_k666_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,6 6 6,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.1901647
Ni_ecut20_k666_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,6 6 6,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.1639406
Ni_ecut20_k666_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,6 6 6,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.3499737
Ni_ecut20_k666_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,6 6 6,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.9359344
Ni_ecut20_k777_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,7 7 7,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.2076325
Ni_ecut20_k777_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,7 7 7,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.2012255
Ni_ecut20_k777_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,7 7 7,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.3613512
Ni_ecut20_k777_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,7 7 7,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.9672584
Ni_ecut20_k888_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,8 8 8,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.2137602
Ni_ecut20_k888_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,8 8 8,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.2051988
Ni_ecut20_k888_Ni.pbe-spn-kjpaw_psl.1.0.0.in,Ni,20,8 8 8,Ni.pbe-spn-kjpaw_psl.1.0.0,-386.3462784
Ni_ecut20_k888_Ni.pbe-spn-rrkjus_psl.1.0.0.in,Ni,20,8 8 8,Ni.pbe-spn-rrkjus_psl.1.0.0,-297.9480223
Ni_ecut20_k999_Ni.pbesol-spn-kjpaw_psl.1.0.0.in,Ni,20,9 9 9,Ni.pbesol-spn-kjpaw_psl.1.0.0,-384.2675139
Ni_ecut20_k999_Ni.pbesol-spn-rrkjus_psl.1.0.0.in,Ni,20,9 9 9,Ni.pbesol-spn-rrkjus_psl.1.0.0,-298.2455519
