Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Fr_ecut15_k777_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,7 7 7,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.14297446
Fr_ecut15_k777_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,7 7 7,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.3955144
Fr_ecut15_k777_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,7 7 7,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.29168772
Fr_ecut15_k777_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,7 7 7,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.91442696
Fr_ecut15_k888_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,8 8 8,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.08880712
Fr_ecut15_k888_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,8 8 8,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.34267475
Fr_ecut15_k888_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,8 8 8,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.23682054
Fr_ecut15_k888_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,8 8 8,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.86095712
Fr_ecut15_k999_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,9 9 9,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.14857204
Fr_ecut15_k999_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,9 9 9,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.40157125
Fr_ecut15_k999_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,9 9 9,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.29707309
Fr_ecut15_k999_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,9 9 9,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.9202465
Fr_ecut15_k101010_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,10 10 10,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.2045045
Fr_ecut15_k101010_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,10 10 10,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.45660806
Fr_ecut15_k101010_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,10 10 10,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.35333653
Fr_ecut15_k101010_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,10 10 10,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.97555302
Fr_ecut15_k111111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,15,11 11 11,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1048.12442558
Fr_ecut15_k111111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,15,11 11 11,Fr.pbe-spdn-rrkjus_psl.1.0.0,-261.37762433
Fr_ecut15_k111111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,15,11 11 11,Fr.pz-spdn-kjpaw_psl.1.0.0,-1023.27275785
Fr_ecut15_k111111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,15,11 11 11,Fr.pz-spdn-rrkjus_psl.1.0.0,-260.89620724
Fr_ecut20_k111_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,1 1 1,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1054.10767841
Fr_ecut20_k111_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,1 1 1,Fr.pbe-spdn-rrkjus_psl.1.0.0,-267.24758959
Fr_ecut20_k111_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,1 1 1,Fr.pz-spdn-kjpaw_psl.1.0.0,-1029.31016878
Fr_ecut20_k111_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,1 1 1,Fr.pz-spdn-rrkjus_psl.1.0.0,-266.80185972
Fr_ecut20_k222_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,2 2 2,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1058.76774007
Fr_ecut20_k222_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,2 2 2,Fr.pbe-spdn-rrkjus_psl.1.0.0,-271.82224311
Fr_ecut20_k222_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,2 2 2,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.02839261
Fr_ecut20_k222_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,2 2 2,Fr.pz-spdn-rrkjus_psl.1.0.0,-271.44158215
Fr_ecut20_k333_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,3 3 3,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.62690505
Fr_ecut20_k333_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,3 3 3,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.66838084
Fr_ecut20_k333_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,3 3 3,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.86740294
Fr_ecut20_k333_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,3 3 3,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.26081565
Fr_ecut20_k444_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,4 4 4,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.59802578
Fr_ecut20_k444_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,4 4 4,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.6435731
Fr_ecut20_k444_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,4 4 4,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.83401688
Fr_ecut20_k444_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,4 4 4,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.23083459
Fr_ecut20_k555_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,5 5 5,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.54797867
Fr_ecut20_k555_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,5 5 5,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.59291714
Fr_ecut20_k555_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,5 5 5,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.7845253
Fr_ecut20_k555_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,5 5 5,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.18080935
Fr_ecut20_k666_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,6 6 6,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.41707687
Fr_ecut20_k666_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,6 6 6,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.4644493
Fr_ecut20_k666_Fr.pz-spdn-kjpaw_psl.1.0.0.in,Fr,20,6 6 6,Fr.pz-spdn-kjpaw_psl.1.0.0,-1034.6513091
Fr_ecut20_k666_Fr.pz-spdn-rrkjus_psl.1.0.0.in,Fr,20,6 6 6,Fr.pz-spdn-rrkjus_psl.1.0.0,-272.05024344
Fr_ecut20_k777_Fr.pbe-spdn-kjpaw_psl.1.0.0.in,Fr,20,7 7 7,Fr.pbe-spdn-kjpaw_psl.1.0.0,-1059.42469317
Fr_ecut20_k777_Fr.pbe-spdn-rrkjus_psl.1.0.0.in,Fr,20,7 7 7,Fr.pbe-spdn-rrkjus_psl.1.0.0,-272.47104337
