Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
K_ecut15_k333_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,3 3 3,K.pbe-spn-kjpaw_psl.1.0.0,-112.66410671
K_ecut15_k333_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,3 3 3,K.pbe-spn-rrkjus_psl.1.0.0,-58.43534791
K_ecut15_k333_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,3 3 3,K.pz-spn-rrkjus_psl.1.0.0,-58.35133102
K_ecut15_k333_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,3 3 3,K.pz-spn-kjpaw_psl.1.0.0,-109.47100718
K_ecut15_k444_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,4 4 4,K.pbe-spn-kjpaw_psl.1.0.0,-112.65211566
K_ecut15_k444_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,4 4 4,K.pbe-spn-rrkjus_psl.1.0.0,-58.42341815
K_ecut15_k444_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,4 4 4,K.pz-spn-rrkjus_psl.1.0.0,-58.33929675
K_ecut15_k444_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,4 4 4,K.pz-spn-kjpaw_psl.1.0.0,-109.45891843
K_ecut15_k555_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,5 5 5,K.pbe-spn-kjpaw_psl.1.0.0,-112.657063
K_ecut15_k555_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,5 5 5,K.pbe-spn-rrkjus_psl.1.0.0,-58.42830211
K_ecut15_k555_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,5 5 5,K.pz-spn-rrkjus_psl.1.0.0,-58.34424257
K_ecut15_k555_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,5 5 5,K.pz-spn-kjpaw_psl.1.0.0,-109.46389599
K_ecut15_k666_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,6 6 6,K.pbe-spn-kjpaw_psl.1.0.0,-112.65611746
K_ecut15_k666_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,6 6 6,K.pbe-spn-rrkjus_psl.1.0.0,-58.42736108
K_ecut15_k666_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,6 6 6,K.pz-spn-rrkjus_psl.1.0.0,-58.34326262
K_ecut15_k666_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,6 6 6,K.pz-spn-kjpaw_psl.1.0.0,-109.46293942
K_ecut15_k777_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,7 7 7,K.pbe-spn-kjpaw_psl.1.0.0,-112.65763175
K_ecut15_k777_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,7 7 7,K.pbe-spn-rrkjus_psl.1.0.0,-58.42884333
K_ecut15_k777_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,7 7 7,K.pz-spn-rrkjus_psl.1.0.0,-58.34473972
K_ecut15_k777_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,7 7 7,K.pz-spn-kjpaw_psl.1.0.0,-109.46443995
K_ecut15_k888_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,8 8 8,K.pbe-spn-kjpaw_psl.1.0.0,-112.65577844
K_ecut15_k888_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,8 8 8,K.pbe-spn-rrkjus_psl.1.0.0,-58.42705146
K_ecut15_k888_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,8 8 8,K.pz-spn-rrkjus_psl.1.0.0,-58.34297574
K_ecut15_k888_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,8 8 8,K.pz-spn-kjpaw_psl.1.0.0,-109.46259505
K_ecut15_k999_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,9 9 9,K.pbe-spn-kjpaw_psl.1.0.0,-112.65646769
K_ecut15_k999_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,9 9 9,K.pbe-spn-rrkjus_psl.1.0.0,-58.42771116
K_ecut15_k999_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,9 9 9,K.pz-spn-rrkjus_psl.1.0.0,-58.34362703
K_ecut15_k999_K.pz-spn-kjpaw_psl.1.0.0.in,K,15,9 9 9,K.pz-spn-kjpaw_psl.1.0.0,-109.46328101
K_ecut15_k101010_K.pbe-spn-kjpaw_psl.1.0.0.in,K,15,10 10 10,K.pbe-spn-kjpaw_psl.1.0.0,-112.65602168
K_ecut15_k101010_K.pbe-spn-rrkjus_psl.1.0.0.in,K,15,10 10 10,K.pbe-spn-rrkjus_psl.1.0.0,-58.4272885
K_ecut15_k101010_K.pz-spn-rrkjus_psl.1.0.0.in,K,15,10 10 10,K.pz-spn-rrkjus_psl.1.0.0,-58.34319351
