Archivo,Elemento,Ecut,KPoints,Pseudopotencial
Mg_ecut15_k777_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,15,7 7 7,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k777_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,15,7 7 7,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k777_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,15,7 7 7,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k777_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,15,7 7 7,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k888_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,15,8 8 8,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k888_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,15,8 8 8,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k888_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,15,8 8 8,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k888_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,15,8 8 8,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k999_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,15,9 9 9,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k999_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,15,9 9 9,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k999_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,15,9 9 9,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k999_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,15,9 9 9,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k101010_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,15,10 10 10,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k101010_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,15,10 10 10,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k101010_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,15,10 10 10,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k101010_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,15,10 10 10,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k111111_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,15,11 11 11,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k111111_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,15,11 11 11,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut15_k111111_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,15,11 11 11,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut15_k111111_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,15,11 11 11,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k111_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,1 1 1,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k111_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,1 1 1,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k111_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,1 1 1,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k111_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,1 1 1,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k222_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,2 2 2,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k222_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,2 2 2,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k222_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,2 2 2,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k222_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,2 2 2,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k333_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,3 3 3,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k333_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,3 3 3,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k333_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,3 3 3,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k333_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,3 3 3,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k444_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,4 4 4,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k444_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,4 4 4,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k444_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,4 4 4,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k444_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,4 4 4,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k555_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,5 5 5,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k555_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,5 5 5,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k555_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,5 5 5,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k555_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,5 5 5,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k666_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,6 6 6,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k666_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,6 6 6,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k666_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,6 6 6,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k666_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,6 6 6,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k777_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,7 7 7,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k777_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,7 7 7,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k777_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,7 7 7,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k777_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,7 7 7,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k888_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,8 8 8,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k888_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,8 8 8,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k888_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,8 8 8,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k888_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,8 8 8,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k999_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,9 9 9,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k999_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,9 9 9,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k999_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,9 9 9,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k999_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,9 9 9,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k101010_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,10 10 10,Mg.pbesol-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k101010_Mg.pbesol-spnl-rrkjus_psl.1.0.0.in,Mg,20,10 10 10,Mg.pbesol-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k101010_Mg.pbe-spnl-kjpaw_psl.1.0.0.in,Mg,20,10 10 10,Mg.pbe-spnl-kjpaw_psl.1.0.0
Mg_ecut20_k101010_Mg.pbe-spnl-rrkjus_psl.1.0.0.in,Mg,20,10 10 10,Mg.pbe-spnl-rrkjus_psl.1.0.0
Mg_ecut20_k111111_Mg.pbesol-spnl-kjpaw_psl.1.0.0.in,Mg,20,11 11 11,Mg.pbesol-spnl-kjpaw_psl.1.0.0
